name,avgpoint,avg_price,num_reviews,topsis_score,rank
Yakimono - Nướng Nhật Bản - Trần Bình,5.6,149000.0,45,0.7560486057586132,368
Bún Cá Cầu Giấy,6.5,27500.0,14,0.8589712741230877,217
Cộng Cà Phê - Trần Huy Liệu,7.3,47500.0,31,0.8794432058753905,112
Bánh Xèo - Nghĩa Tân,6.3,35000.0,18,0.8496265264755067,242
Ốc Ghẹ Đường Thành,7.1,45500.0,10,0.8733859054694068,140
Trà Sữa Nướng Yi He Kao Nai - Trung Kiên,9.9,32500.0,20,0.9702220208171859,4
Cơm Gà Bà Nga,5.6,100000.0,14,0.7931370055848252,339
Mì Vằn Thắn Duy Anh,7.0,42500.0,59,0.8712140493499339,152
Kem Xôi Chè Thái Lan - Giảng Võ,6.7,22500.0,137,0.8674098088110742,172
"Genko Chip - Gà Rán, Bánh Gà & Xôi Gà - Đại Cồ Việt",6.7,162500.0,13,0.7710082982753477,360
Tun Tun - Bún Hải Sản Hoa Quả,8.1,40000.0,20,0.9117703011815266,33
Sushi Việt - Tô Hiệu,6.9,24000.0,108,0.8741691061474895,138
Hạnh - Ngan Dé,7.3,35000.0,68,0.8850357780428096,90
Mr.Eco Salad Healthy - Food & Drinks - Ngõ Huế,9.6,70000.0,95,0.9243459935544667,24
Hắt 2 Ô - Nem Nướng Nha Trang - Xuân Thủy,6.5,60000.0,57,0.8456036943552818,258
Lục Thuỷ Cafe & Lounge,7.3,300000.0,43,0.6360226077468656,427
"Al Fresco's - Pizza, Mỳ Ý, Sườn, Steak Bò Bít Tết - Royal City",7.3,175000.0,57,0.7714374772268313,359
6 Degrees Cafe - Rooftop,7.6,225000.0,182,0.7232990907869986,388
Cháo Sườn Hàng Bồ,7.7,15000.0,19,0.9058125399339865,43
MONO Coffee Lab - Hồ Xuân Hương,7.1,50000.0,10,0.8712005721461601,153
Bún Ốc Nguội - Ô Quan Chưởng,6.7,42500.0,14,0.860685054431369,206
"Tiến Thiện - Mì Vằn Thắn, Hủ Tíu",6.6,35000.0,13,0.8600605722467873,208
Ốc Nóng - Lê Quý Đôn,7.0,22500.0,28,0.8781778895242547,120
Noble Moment - Cafe' Serendipity,7.4,60000.0,89,0.875856335281925,130
Domino's Pizza - Giảng Võ,7.4,124000.0,227,0.8243331158035675,294
Coco Food - Bánh Ngọt Online - Trương Định,7.9,97500.0,32,0.8615829878945713,201
Lilium Dessert - Bánh Bông Lan & Trà Thái - Shop Online,7.6,105000.0,10,0.8469384703620527,253
Trà Sữa Shun Cha - Cửa Bắc,7.2,39000.0,31,0.8798165948252874,109
Miến Lươn - 9 Phủ Doãn,7.4,30000.0,14,0.8905255074070393,74
Phở Cuốn Hương Mai - 25 Ngũ Xã,7.2,37000.0,268,0.8806364982484757,106
Cơm Tấm Sài Gòn Út Thắng - Hoàng Cầu Mới,6.4,50000.0,10,0.8471029255895421,250
Trà Sữa Tocotoco - Đào Tấn,6.6,42500.0,26,0.8572042486610302,223
1975 - Cơm Tấm Sài Gòn,9.3,28000.0,44,0.9614782786439078,9
Burger King - Giảng Võ,6.3,60000.0,115,0.8389342929799584,271
Poke Hanoi - Healthy - Hàng Khay,9.1,170000.0,31,0.805124313263783,319
Lotteria - Huỳnh Thúc Kháng,6.8,465000.0,75,0.4479538660300421,440
"Swanshi Kitchen - Bánh Ngọt, Sinh Tố & Nước Ép",7.1,100000.0,15,0.837481187946567,274
Phở Xào - 32 Bát Đàn,6.9,58500.0,24,0.8598652371867906,210
DV Fruit - Sinh Tố & Nước Ép Trái Cây,8.9,40000.0,34,0.9394469861604837,16
Bún Bò Huế Nam Minh - Đội Cấn,8.9,40000.0,22,0.9394469861604837,16
Tình Linh - Bún Bò Huế,9.0,40000.0,13,0.9426146223177998,13
Kichi Kichi Lẩu Băng Chuyền - BigC Thăng Long,8.8,184500.0,109,0.7853722898628442,345
Minh Lan - Miến Lươn Số 1 Chân Cầm,6.9,35000.0,61,0.8706635545702529,158
Vịt 29 - Trung Hòa - Cơm Xôi Phở Cháo,6.3,175000.0,11,0.7498198740568371,377
Gia Hân - Bún Cá Cay,7.0,37500.0,17,0.8732797031027014,144
Hashiya - Ẩm Thực Nhật Bản,8.1,300000.0,15,0.6472044804779356,422
Fenghuang - Trần Kim Xuyến,6.5,225000.0,25,0.7038102073133031,401
Bánh Mì Minh Nhật - Bán Đảo Linh Đàm,4.9,40000.0,10,0.8017311022612527,323
Xôi Cô Sâm,8.5,12500.0,10,0.9372703138198429,18
Phở Bò Phú Xuân,7.7,37500.0,14,0.8985244517654368,52
Minh Châu - Cơm Tấm & Hủ Tiếu Nam Vang - Tuệ Tĩnh,6.7,40000.0,28,0.8616972479241104,200
Phan - Lẩu Các Món - Đào Duy Anh,6.8,150000.0,119,0.7852853735398472,346
Quang Đăng - Bánh Tráng Trộn & Bánh Tráng Nướng - Phùng Khoang,9.0,27500.0,18,0.951347590788374,12
Le Castella Hà Nội - Taste Of Taiwan - Vũ Hữu,6.9,134000.0,71,0.8026113222414736,321
"Chops - Hops, Wheat & Meat - Phạm Huy Thông",7.9,250000.0,13,0.70019250308966,402
Sushidokoro Yutaka - Ẩm Thực Nhật Bản,7.4,187500.0,19,0.7602932678925515,365
Trixie Cafe & Lounge,6.5,60000.0,20,0.8456036943552818,258
Gia Huy - Chè Khúc Bạch Online - Hoàng Mai,6.2,17000.0,14,0.8512052905154841,237
Bánh Tráng Cô Bông - Hàng Bè,9.8,25000.0,26,0.977622725591898,1
"Quẩy Đùi Gà, Trà sữa - Ngọc Linh - Nguyễn Tuân",9.4,30000.0,170,0.963008471244457,8
Chè Xưa - Chè Sầu & Ăn Vặt,7.0,35000.0,20,0.8742329113764732,137
Cô Vân - Chè & Bánh Trôi Tàu - Đê Tô Hoàng,6.4,12500.0,10,0.8590237894462116,216
Fresh Garden Bakery - Bạch Mai,7.2,35000.0,10,0.8814199100806568,104
Kim Phan's Food - Đồ Ăn Hàn Quốc Online,7.7,42500.0,65,0.8961317398229868,57
Trà Sữa Tocotoco - Nguyễn Văn Tố,6.4,33500.0,20,0.853595693290406,230
Sữa Chua Trân Châu Cô Thỏ - KTT Trường Múa Việt Nam,9.6,30000.0,15,0.968349271404934,5
Cơm Gà Bảo Lan - Nguyễn Trãi,8.5,32500.0,13,0.930275626686594,21
BenTo Chile - Cơm Gà Xối Mắm Tỏi & Xối Mỡ - Nguyễn Trãi,7.5,55000.0,15,0.8822661996971364,98
Chân Gà Chiên Mắm & Lẩu Thái - Thụy Khuê,7.2,150000.0,29,0.7945827414529224,336
The Alley - Trà Sữa Đài Loan - Hàng Bài,2.5,55500.0,236,0.7269272905254472,387
Starbucks Coffee - The Garden,7.9,60000.0,31,0.8924190836030013,66
Quán Xưa - Món Xưa,6.4,247500.0,14,0.6782971873258883,408
Gà rán và Mì Ý - Jollibee - Nguyễn Trãi,6.5,29500.0,73,0.8583702664905238,219
Bánh Mì One One - Chùa Láng,7.0,20000.0,27,0.8787995715664431,115
Bún Hải Sản Mẹ Su - 15 Trương Công Giai,8.3,92500.0,50,0.876295723790116,128
Ding Tea - Lê Đại Hành,6.9,40000.0,73,0.8687330179229151,167
The Pizza Company - AEON Mall Long Biên,6.9,200000.0,25,0.7375875864573196,380
Bamboo Dimsum - AEON Mall Long Biên,7.4,60000.0,29,0.875856335281925,130
Cháo Sườn Huyền Anh - Đồng Xuân,7.2,35000.0,208,0.8814199100806568,104
Bò Nướng Tảng - Nguyên Hồng,7.9,200000.0,40,0.7554884657213891,370
Nam An - Cơm Gà Hội An,9.4,28000.0,60,0.964671941450313,6
Bún Đậu Mắm Tôm - Ngõ Trạm,5.9,35000.0,24,0.8359954452015631,279
Hiệu Lực - Bánh Mì Chảo - Bà Triệu,6.7,40000.0,99,0.8616972479241104,200
Hoa An Viên - Lê Đức Thọ,7.0,240000.0,13,0.696991035673927,403
Yên Béo - Đồ Nướng & Ăn Vặt,7.4,56000.0,55,0.878267516029553,119
Ốc Ngao Xào - Mai Động,7.3,75000.0,11,0.8626199568044615,192
Bánh Mì Bami Bread - Nguyễn Trãi,7.2,20000.0,47,0.8860941215853096,85
Ngan Ngon - Trần Huy Liệu,6.0,115000.0,13,0.7941498395587165,338
