name,avgpoint,avg_price,num_reviews
Trà Sữa Tocotoco - Tân Mai,6.6,42500.0,19
Le Monde Steak - Hoàng Cầu,7.4,150000.0,57
Gạch Quán - Bánh Tráng Cuốn Thịt Heo,7.6,30000.0,103
"Hoa Đại Quán - Cơm Văn Phòng, Fastfood & Coffee",7.4,44000.0,94
"Lutulata - Bún Bò Huế, Cơm Gà & Cơm Sườn",9.3,70000.0,24
Bún Cá Cầu Giấy,6.5,27500.0,14
Cộng Cà Phê - Trần Huy Liệu,7.3,47500.0,31
Bánh Xèo - Nghĩa Tân,6.3,35000.0,18
Ốc Ghẹ Đường Thành,7.1,45500.0,10
Trà Sữa Nướng Yi He Kao Nai - Trung Kiên,9.9,32500.0,20
Cơm Gà Bà Nga,5.6,100000.0,14
Mì Vằn Thắn Duy Anh,7.0,42500.0,59
Kem Xôi Chè Thái Lan - Giảng Võ,6.7,22500.0,137
Tun Tun - Bún Hải Sản Hoa Quả,8.1,40000.0,20
Sushi Việt - Tô Hiệu,6.9,24000.0,108
Hạnh - Ngan Dé,7.3,35000.0,68
Mr.Eco Salad Healthy - Food & Drinks - Ngõ Huế,9.6,70000.0,95
Hắt 2 Ô - Nem Nướng Nha Trang - Xuân Thủy,6.5,60000.0,57
Lục Thuỷ Cafe & Lounge,7.3,300000.0,43
"Al Fresco's - Pizza, Mỳ Ý, Sườn, Steak Bò Bít Tết - Royal City",7.3,175000.0,57
6 Degrees Cafe - Rooftop,7.6,225000.0,182
Cháo Sườn Hàng Bồ,7.7,15000.0,19
MONO Coffee Lab - Hồ Xuân Hương,7.1,50000.0,10
Bún Ốc Nguội - Ô Quan Chưởng,6.7,42500.0,14
Ốc Nóng - Lê Quý Đôn,7.0,22500.0,28
Domino's Pizza - Giảng Võ,7.4,124000.0,227
Coco Food - Bánh Ngọt Online - Trương Định,7.9,97500.0,32
Lilium Dessert - Bánh Bông Lan & Trà Thái - Shop Online,7.6,105000.0,10
Trà Sữa Shun Cha - Cửa Bắc,7.2,39000.0,31
Miến Lươn - 9 Phủ Doãn,7.4,30000.0,14
Phở Cuốn Hương Mai - 25 Ngũ Xã,7.2,37000.0,268
Cơm Tấm Sài Gòn Út Thắng - Hoàng Cầu Mới,6.4,50000.0,10
Trà Sữa Tocotoco - Đào Tấn,6.6,42500.0,26
1975 - Cơm Tấm Sài Gòn,9.3,28000.0,44
Burger King - Giảng Võ,6.3,60000.0,115
Poke Hanoi - Healthy - Hàng Khay,9.1,170000.0,31
Lotteria - Huỳnh Thúc Kháng,6.8,465000.0,75
"Swanshi Kitchen - Bánh Ngọt, Sinh Tố & Nước Ép",7.1,100000.0,15
DV Fruit - Sinh Tố & Nước Ép Trái Cây,8.9,40000.0,34
Bún Bò Huế Nam Minh - Đội Cấn,8.9,40000.0,22
Tình Linh - Bún Bò Huế,9.0,40000.0,13
Minh Lan - Miến Lươn Số 1 Chân Cầm,6.9,35000.0,61
Vịt 29 - Trung Hòa - Cơm Xôi Phở Cháo,6.3,175000.0,11
Gia Hân - Bún Cá Cay,7.0,37500.0,17
Fenghuang - Trần Kim Xuyến,6.5,225000.0,25
Bánh Mì Minh Nhật - Bán Đảo Linh Đàm,4.9,40000.0,10
Xôi Cô Sâm,8.5,12500.0,10
Phở Bò Phú Xuân,7.7,37500.0,14
Minh Châu - Cơm Tấm & Hủ Tiếu Nam Vang - Tuệ Tĩnh,6.7,40000.0,28
Quang Đăng - Bánh Tráng Trộn & Bánh Tráng Nướng - Phùng Khoang,9.0,27500.0,18
Le Castella Hà Nội - Taste Of Taiwan - Vũ Hữu,6.9,134000.0,71
"Chops - Hops, Wheat & Meat - Phạm Huy Thông",7.9,250000.0,13
Trixie Cafe & Lounge,6.5,60000.0,20
Gia Huy - Chè Khúc Bạch Online - Hoàng Mai,6.2,17000.0,14
Bánh Tráng Cô Bông - Hàng Bè,9.8,25000.0,26
"Quẩy Đùi Gà, Trà sữa - Ngọc Linh - Nguyễn Tuân",9.4,30000.0,170
Chè Xưa - Chè Sầu & Ăn Vặt,7.0,35000.0,20
Cô Vân - Chè & Bánh Trôi Tàu - Đê Tô Hoàng,6.4,12500.0,10
Kim Phan's Food - Đồ Ăn Hàn Quốc Online,7.7,42500.0,65
Trà Sữa Tocotoco - Nguyễn Văn Tố,6.4,33500.0,20
Sữa Chua Trân Châu Cô Thỏ - KTT Trường Múa Việt Nam,9.6,30000.0,15
Cơm Gà Bảo Lan - Nguyễn Trãi,8.5,32500.0,13
The Alley - Trà Sữa Đài Loan - Hàng Bài,2.5,55500.0,236
Starbucks Coffee - The Garden,7.9,60000.0,31
Quán Xưa - Món Xưa,6.4,247500.0,14
Gà rán và Mì Ý - Jollibee - Nguyễn Trãi,6.5,29500.0,73
Bánh Mì One One - Chùa Láng,7.0,20000.0,27
Bún Hải Sản Mẹ Su - 15 Trương Công Giai,8.3,92500.0,50
Ding Tea - Lê Đại Hành,6.9,40000.0,73
The Pizza Company - AEON Mall Long Biên,6.9,200000.0,25
Cháo Sườn Huyền Anh - Đồng Xuân,7.2,35000.0,208
Nam An - Cơm Gà Hội An,9.4,28000.0,60
Bún Đậu Mắm Tôm - Ngõ Trạm,5.9,35000.0,24
Hiệu Lực - Bánh Mì Chảo - Bà Triệu,6.7,40000.0,99
Yên Béo - Đồ Nướng & Ăn Vặt,7.4,56000.0,55
Ốc Ngao Xào - Mai Động,7.3,75000.0,11
Bánh Mì Bami Bread - Nguyễn Trãi,7.2,20000.0,47
Ngan Ngon - Trần Huy Liệu,6.0,115000.0,13
"Nhà Sàn 141 - Lẩu, Đồ Nướng & Nhậu",9.2,200000.0,45
Trà Sữa Tocotoco - Trần Duy Hưng,5.1,37500.0,19
Bún Hải Sản 2S - Văn Quán,5.6,42500.0,45
Dolpan Sam - Nướng Bàn Đá Hàn Quốc - Artemis Tower,7.0,250000.0,49
Cowboy Jack's Saloon American Dining - Trần Thái Tông,8.0,225000.0,104
Nem Lụi Homemade - Shop Online,5.7,77500.0,10
ThaiExpress - Vincom Bà Triệu,7.0,50000.0,62
Phong Phú - Sữa Ngô Nguyên Chất & Bánh Bao,7.7,15000.0,19
Bà Yên - Bún Miến Ngan,7.2,62500.0,15
Cơm Ngon Giang Béo - Lê Đức Thọ,9.8,37500.0,103
Kem Swensen's - AEON Mall Long Biên,7.4,125000.0,56
Trà Sữa Tocotoco - Nguyễn Văn Cừ,6.9,52500.0,39
HM 187 - Gà Rán & Khoai Lắc - Hồng Mai,5.4,37500.0,20
Chick Garden - Chè Ngon & Súp Ngọt - Định Công,6.5,45000.0,85
Vịt 34 - Nguyễn Cơ Thạch,6.9,125000.0,11
Chè Malaysia Bà Tuyết,6.7,24000.0,27
Phúc Long Trần Đại Nghĩa,4.3,52500.0,12
"Đông Dương Fruits - Trái Cây Gọt Sẵn, Sinh Tố & Nước Ép",8.8,65000.0,20
Mì Quảng Bà Vị - Đặc Sản Đà Nẵng,7.1,32500.0,17
Cơm Văn Phòng 86 - Shop Online,8.4,32500.0,13
Bún Riêu - Đội Cấn,7.3,30000.0,11
Gà Rán KFC - Nguyễn Văn Cừ,6.2,80000.0,19
Trà Sữa Tocotoco - Big C Thăng Long,4.2,37500.0,10
Miến Lươn Sành Phố Cổ,7.2,35000.0,15
Trung Nguyên Legend Coffee - Hai Bà Trưng,7.3,75000.0,11
Hải Sư - Cơm Niêu Singapore,7.0,42500.0,182
Lòng Rán Phố Hàng Gà,6.7,48000.0,23
Cơm Thố Anh Nguyễn - Dương Khuê,7.1,110000.0,40
Mì Trộn & Xiên Que Shop & Go - Ô Quan Chưởng,7.8,17500.0,12
Trà Sữa Tocotoco - Lê Đại Hành,5.6,37500.0,26
Chả Cá Lã Vọng - Nguyễn Trường Tộ,6.0,70000.0,14
Khang - Ẩm Thực Nhật Bản,7.8,267500.0,46
Bà Thìn - Xôi Chè & Bánh Trôi,7.0,24000.0,37
Cháo Sườn - Cửa Bắc,7.3,17500.0,13
Bánh Tôm Hàng Bồ,7.1,40000.0,106
Huyền Anh - Bún Bò Huế - Trương Định,7.1,43000.0,21
Mì Vằn Thắn - Đinh Liệt,7.4,30000.0,142
Con Ong Vàng - Chuối Chiên Sài Gòn & Xôi Dừa,6.6,15000.0,10
